카테고리: 모든 카테고리

일,삼성전자: (대한민국)
2023-01-01,29
2023-01-02,63
2023-01-03,59
2023-01-04,60
2023-01-05,53
2023-01-06,61
2023-01-07,25
2023-01-08,24
2023-01-09,62
2023-01-10,59
2023-01-11,57
2023-01-12,51
2023-01-13,49
2023-01-14,20
2023-01-15,26
2023-01-16,56
2023-01-17,53
2023-01-18,54
2023-01-19,51
2023-01-20,51
2023-01-21,19
2023-01-22,18
2023-01-23,23
2023-01-24,23
2023-01-25,58
2023-01-26,54
2023-01-27,63
2023-01-28,28
2023-01-29,29
2023-01-30,60
2023-01-31,64
2023-02-01,72
2023-02-02,67
2023-02-03,66
2023-02-04,25
2023-02-05,28
2023-02-06,68
2023-02-07,58
2023-02-08,60
2023-02-09,59
2023-02-10,55
2023-02-11,27
2023-02-12,27
2023-02-13,58
2023-02-14,55
2023-02-15,50
2023-02-16,60
2023-02-17,53
2023-02-18,26
2023-02-19,27
2023-02-20,55
2023-02-21,53
2023-02-22,49
2023-02-23,52
2023-02-24,47
2023-02-25,25
2023-02-26,22
2023-02-27,50
2023-02-28,48
2023-03-01,26
2023-03-02,54
2023-03-03,51
2023-03-04,25
2023-03-05,27
2023-03-06,57
2023-03-07,50
2023-03-08,69
2023-03-09,60
2023-03-10,64
2023-03-11,34
2023-03-12,44
2023-03-13,75
2023-03-14,100
2023-03-15,73
2023-03-16,49
2023-03-17,50
2023-03-18,25
2023-03-19,17
2023-03-20,54
2023-03-21,51
2023-03-22,46
2023-03-23,48
2023-03-24,47
2023-03-25,28
2023-03-26,24
2023-03-27,49
2023-03-28,48
2023-03-29,46
2023-03-30,51
2023-03-31,49
2023-04-01,23
2023-04-02,26
2023-04-03,57
2023-04-04,49
2023-04-05,52
2023-04-06,50
2023-04-07,78
2023-04-08,31
2023-04-09,28
2023-04-10,61
2023-04-11,55
2023-04-12,54
2023-04-13,53
2023-04-14,53
2023-04-15,23
2023-04-16,23
2023-04-17,50
2023-04-18,43
2023-04-19,43
2023-04-20,46
2023-04-21,46
2023-04-22,27
2023-04-23,20
2023-04-24,47
2023-04-25,50
2023-04-26,48
2023-04-27,52
2023-04-28,51
2023-04-29,20
2023-04-30,22
2023-05-01,34
2023-05-02,45
2023-05-03,42
2023-05-04,46
2023-05-05,23
2023-05-06,15
2023-05-07,20
2023-05-08,50
2023-05-09,45
2023-05-10,42
2023-05-11,47
2023-05-12,43
2023-05-13,22
2023-05-14,20
2023-05-15,52
2023-05-16,45
2023-05-17,41
2023-05-18,40
2023-05-19,41
2023-05-20,21
2023-05-21,18
2023-05-22,45
2023-05-23,40
2023-05-24,38
2023-05-25,38
2023-05-26,44
2023-05-27,15
2023-05-28,18
2023-05-29,21
2023-05-30,54
2023-05-31,49
2023-06-01,48
2023-06-02,38
2023-06-03,18
2023-06-04,14
2023-06-05,42
2023-06-06,16
2023-06-07,37
2023-06-08,35
2023-06-09,41
2023-06-10,15
2023-06-11,14
2023-06-12,48
2023-06-13,41
2023-06-14,44
2023-06-15,42
2023-06-16,39
2023-06-17,17
2023-06-18,16
2023-06-19,37
2023-06-20,36
2023-06-21,35
2023-06-22,38
2023-06-23,35
2023-06-24,15
2023-06-25,17
2023-06-26,40
2023-06-27,40
2023-06-28,41
2023-06-29,39
2023-06-30,39
2023-07-01,20
2023-07-02,18
2023-07-03,43
2023-07-04,42
2023-07-05,43
2023-07-06,40
2023-07-07,42
2023-07-08,19
2023-07-09,13
2023-07-10,44
2023-07-11,36
2023-07-12,39
2023-07-13,39
2023-07-14,45
2023-07-15,17
2023-07-16,18
2023-07-17,42
2023-07-18,36
2023-07-19,42
2023-07-20,36
2023-07-21,31
2023-07-22,17
2023-07-23,14
2023-07-24,40
2023-07-25,46
2023-07-26,48
2023-07-27,50
2023-07-28,44
2023-07-29,22
2023-07-30,17
2023-07-31,45
2023-08-01,48
2023-08-02,46
2023-08-03,47
2023-08-04,41
2023-08-05,20
2023-08-06,19
2023-08-07,51
2023-08-08,42
2023-08-09,41
2023-08-10,39
2023-08-11,41
2023-08-12,16
2023-08-13,15
2023-08-14,40
2023-08-15,19
2023-08-16,41
2023-08-17,42
2023-08-18,37
2023-08-19,15
2023-08-20,20
2023-08-21,43
2023-08-22,41
2023-08-23,44
2023-08-24,36
2023-08-25,35
2023-08-26,15
2023-08-27,16
2023-08-28,38
