ufb,usefulness,experience,numofrv,lenrv,dup,score
20,0.392156863,0,1,1138,0,0
40,0.655737705,614,7,1242.571429,1,0
61,0.884057971,0,1,235,0,0
17,0.202380952,0,1,90,0,0
0,0,0,1,1060,0,0
371,0.768115942,2041,58,1365.12069,1,0
563,0.878315133,1027,121,1530.421488,1,0
126,0.79245283,591,4,402.5,1,0
7,0.7,133,4,250.25,1,0
171,0.799065421,1241,18,1450.388889,1,0
33,0.916666667,0,1,1078,0,0
7,1,0,1,352,0,0
57,0.966101695,0,1,841,0,0
31,0.436619718,624,7,372.4285714,1,0
13,0.65,0,1,566,0,0
3,0.6,298,2,408,1,0
4,1,0,1,950,0,0
3,0.6,0,1,456,0,0
1,1,0,1,102,0,0
13,0.866666667,13,2,715.5,1,0
11,0.268292683,0,1,435,0,0
1,1,0,1,1320,0,0
25,0.675675676,103,3,1249,1,0
9,1,814,2,935,1,0
10,0.666666667,584,3,1043.333333,1,0
4,0.571428571,0,1,676,0,0
18,0.36,1195,2,507.5,1,0
11,0.846153846,0,1,855,0,0
15,0.625,258,2,421.5,1,0
3,0.75,0,1,477,0,0
9,1,0,1,280,0,0
7,0.636363636,0,1,208,0,0
5,0.5,0,1,375,0,0
12,0.571428571,1134,4,239.25,1,0
7,0.1,0,1,303,0,0
655,0.786314526,3110,47,1420.64,1,0
10,0.769230769,0,1,845,0,0
21,0.583333333,0,1,2012,0,0
1,1,0,1,1023,0,0
3,1,0,1,127,0,0
12,1,0,1,1779,0,0
15,1,0,1,953,0,0
1,0.5,107,2,932.5,1,0
7,0.538461538,0,5,1302,1,0
7,1,0,1,989,0,0
22,0.628571429,2303,4,975.75,1,0
2,0.666666667,0,1,424,0,0
33,0.210191083,0,1,1183,0,0
9,0.642857143,0,1,85,0,0
5,0.416666667,2,2,187,1,0
17,0.293103448,0,1,1534,0,0
7,0.636363636,0,1,602,0,0
5,0.714285714,0,1,1349,0,0
11,0.379310345,0,1,1615,0,0
29,0.207142857,0,1,1395,0,0
49,0.790322581,658,8,887.125,1,0
49,0.942307692,0,1,1750,0,0
4,0.8,0,1,499,0,0
1,0.333333333,0,1,278,0,0
363,0.819413093,246,53,1626.867925,1,0
19,0.678571429,0,1,238,0,0
1,0.5,0,1,437,0,0
6,0.75,516,4,509.75,1,0
0,0,0,1,137,0,0
95,0.612903226,0,1,1281,0,0
16,0.666666667,0,1,570,0,0
18,0.9,0,1,534,0,0
9,0.818181818,0,1,156,0,0
3,0.272727273,0,1,229,0,0
4,0.307692308,0,1,310,0,0
2,0.333333333,0,1,997,0,0
13,0.928571429,395,2,832.5,1,0
8,1,0,1,532,0,0
125,0.856164384,872,7,1738,1,0
5,0.5,0,1,703,0,0
25,0.510204082,0,1,777,0,0
5,0.5,1552,3,280.6666667,1,0
17,0.141666667,0,1,305,0,0
13,0.8125,388,3,639.3333333,1,0
8,0.8,319,2,992,1,0
2,1,0,1,1847,0,0
1,0.333333333,0,1,325,0,0
8,1,0,1,502,0,0
3,0.6,0,1,439,0,0
6,0.75,414,2,514.5,1,0
514,0.771771772,2631,103,1431.415094,1,0
11,0.916666667,0,1,585,0,0
4,1,0,1,429,0,0
2,1,0,1,962,0,0
39,0.661016949,407,9,1027.777778,1,0
5,1,0,1,636,0,0
3,1,0,1,561,0,0
4,0.666666667,0,1,1014,0,0
34,0.272,0,1,534,0,0
1,0.5,0,1,171,0,0
14,0.823529412,473,5,1543,1,0
1,0.5,0,1,374,0,0
1,0.333333333,0,1,101,0,0
27,0.84375,0,1,1982,0,0
31,0.885714286,0,1,778,0,0
7,0.368421053,0,1,660,0,1
41,0.372727273,0,1,354,0,1
10,1,1117,2,2103.5,1,1
4,0.571428571,0,1,827,0,1
35,0.492957746,3,2,503.5,1,1
2,1,0,1,717,0,1
7,0.777777778,0,1,1507,0,1
4,0.8,499,2,780.5,1,1
24,0.888888889,1514,5,1136,1,1
18,0.782608696,525,2,289.5,1,1
846,0.826171875,2172,40,2400.325,1,1
25,0.735294118,656,10,346.3,1,1
18,0.75,477,4,891.5,1,1
29,0.90625,1708,5,538.6,1,1
4,0.8,1756,2,991,1,1
19,0.452380952,0,1,656,0,1
7,0.777777778,0,1,660,0,1
39,0.65,0,1,1469,0,1
40,0.85106383,49,2,721.5,1,1
113,0.676646707,41,2,1242.5,1,1
15,0.113636364,0,1,482,0,1
5,0.555555556,0,1,241,0,1
11,0.6875,0,1,283,0,1
16,0.666666667,865,4,229,1,1
17,0.485714286,18,2,753,1,1
1,1,0,2,556.5,1,1
1,0.142857143,0,1,414,0,1
1,0.25,0,1,327,0,1
59,0.808219178,786,5,532.2,1,1
0,0,0,1,589,0,1
0,0,0,1,166,0,1
6,1,1092,2,409.5,1,1
10,0.454545455,546,4,903,1,1
21,0.777777778,9,2,499,1,1
36,0.837209302,0,1,614,0,1
9,0.428571429,1053,4,203.25,1,1
97,0.751937984,0,1,603,0,1
104,0.888888889,0,1,559,0,1
15,0.555555556,47,25,812.56,1,1
6,1,0,1,1474,0,1
372,0.837837838,963,41,614.6666667,1,1
147,0.960784314,536,5,2556.8,1,1
10,0.588235294,36,2,732.5,1,1
1,0.045454545,0,1,306,0,1
32,0.376470588,0,1,356,0,1
19,0.678571429,1274,10,477.6,1,1
5,1,0,1,478,0,1
6,0.75,0,1,923,0,1
13,0.65,64,2,265.5,1,1
46,0.73015873,1348,5,998.6,1,1
41,0.891304348,692,8,1061.375,1,1
52,0.962962963,18,4,1953,1,1
2,1,69,2,1445,1,1
3,0.6,284,3,652.6666667,1,1
1,0.333333333,0,1,56,0,1
1,0.5,0,1,155,0,1
62,0.738095238,837,9,605.6666667,1,1
40,0.784313725,1538,14,419.6428571,1,1
2,0.285714286,0,1,411,0,1
1785,0.702755906,2328,322,1131.689231,1,1
8,0.727272727,0,1,262,0,1
44,0.75862069,0,1,509,0,1
12,0.5,15,2,469.5,1,1
10,0.833333333,0,1,1236,0,1
21,0.65625,2001,10,465.4,1,1
11,0.647058824,1774,2,576.5,1,1
1,0.2,0,1,904,0,1
12,0.705882353,0,1,2122,0,1
9,1,391,2,577,1,1
0,0,0,1,419,0,1
7,0.7,0,1,188,0,1
10,0.769230769,222,10,1431.8,1,1
1,0.5,0,1,246,0,1
5,0.714285714,370,2,827,1,1
1,0.5,0,1,1646,0,1
10,0.625,0,1,195,0,1
7,0.636363636,0,1,681,0,1
73,0.901234568,1003,4,1284.25,1,1
4,0.444444444,0,1,947,0,1
9,1,6,2,2416.5,1,1
10,1,0,1,579,0,1
5,0.833333333,1076,4,465,1,1
5,0.833333333,0,1,200,0,1
2,1,0,1,232,0,1
4,0.571428571,0,1,1032,0,1
5,1,0,1,562,0,1
24,0.923076923,358,2,1183.5,1,1
5,1,0,1,946,0,1
18,0.782608696,679,24,761.75,1,1
201,0.761363636,1543,10,1257.909091,1,1
78,0.573529412,146,2,520.5,1,1
9,0.391304348,0,1,321,0,1
9,0.529411765,84,2,460.5,1,1
71,0.76344086,5,2,154.5,1,1
1,1,0,1,518,0,1
2,1,0,1,475,0,1
6,0.272727273,62,4,446.5,1,1
112,0.777777778,50,7,995.2857143,1,2
82,0.611940299,1233,35,1046.857143,1,2
25,0.490196078,110,3,793.6666667,1,2
281,0.836309524,1937,47,664.4791667,1,2
4,0.5,0,1,756,0,2
10,0.909090909,676,7,741.2857143,1,2
1,0.333333333,0,1,802,0,2
4,0.666666667,0,1,620,0,2
44,0.814814815,1871,3,923,1,2
81,0.84375,620,6,1127.666667,1,2
136,0.739130435,947,19,2223.684211,1,2
66,0.835443038,307,10,997.2,1,2
32,0.914285714,0,4,522.75,1,2
2,1,350,1,325,0,2
27,0.675,435,6,1682.833333,1,2
9,0.529411765,0,1,487,0,2
6,0.4,0,1,225,0,2
4,0.571428571,0,1,619,0,2
2,0.666666667,0,1,312,0,2
8,0.8,29,5,809.8,1,2
1,0.5,0,1,663,0,2
13,1,0,1,2749,0,2
35,0.921052632,0,1,1469,0,2
3,1,0,1,807,0,2
42,0.954545455,0,1,1147,0,2
0,0,0,1,271,0,2
57,0.876923077,0,1,791,0,2
10,0.714285714,0,1,403,0,2
44,0.88,903,5,524.8,1,2
11,0.846153846,0,1,545,0,2
2,0.5,0,1,341,0,2
0,0,0,1,80,0,2
24,0.96,0,1,1707,0,2
0,0,0,1,241,0,2
11,1,403,2,955,1,2
16,0.8,0,1,910,0,2
3,1,91,2,315.5,1,2
63,0.954545455,1959,11,965.5454545,1,2
36,0.545454545,204,6,438.6666667,1,2
29,0.966666667,340,2,2146,1,2
2,0.666666667,0,1,268,0,2
32,0.561403509,956,8,767.875,1,2
19,0.5,0,1,1567,0,2
1,0.5,0,1,342,0,2
15,0.75,0,1,2076,0,2
1,1,335,2,644.5,1,2
3,1,0,1,305,0,2
76,0.808510638,268,9,1558.111111,1,2
2,0.666666667,0,1,2215,0,2
17,0.68,0,1,492,0,2
10,0.588235294,0,1,791,0,2
1,0.333333333,0,1,752,0,2
0,0,0,1,431,0,2
2,1,0,1,4135,0,2
61,0.544642857,2518,30,937.7,1,2
6,0.4,392,6,523.6666667,1,2
1,0.5,0,1,634,0,2
1,1,209,2,498,1,2
7,0.538461538,0,1,779,0,2
36,0.923076923,809,2,2185,1,2
3,0.1875,0,1,210,0,2
46,0.547619048,2141,22,394.9565217,1,2
4,0.571428571,0,1,497,0,2
38,0.575757576,91,4,469,1,2
69,0.884615385,1030,7,794.4285714,1,2
120,0.638297872,2464,7,1469,1,2
12,1,0,1,488,0,2
35,0.333333333,0,1,254,0,2
10,0.625,0,1,711,0,2
1,1,0,1,171,0,2
4,0.666666667,0,1,996,0,2
1,1,0,1,799,0,2
63,0.741176471,779,21,588.4285714,1,2
4,1,0,1,501,0,2
3,0.6,153,2,682,1,2
7,0.777777778,0,1,677,0,2
8,1,0,1,846,0,2
1,0.090909091,0,1,217,0,2
43,0.895833333,261,2,4608,1,2
3,0.2,0,1,59,0,2
131,0.963235294,623,2,178.5,1,2
1,1,263,2,442,1,2
3,1,0,1,896,0,2
2,1,875,2,289,1,3
14,0.777777778,0,1,369,0,3
0,0,0,1,1591,0,3
3,1,0,1,349,0,3
11,1,0,1,322,0,3
2,0.666666667,0,1,306,0,3
32,0.820512821,2255,3,392.3333333,1,3
20,0.8,106,2,1145.5,1,3
277,0.871069182,1768,12,1699.25,1,3
4,0.5,0,1,614,0,3
